0
0 1
0 1631 1
0 6177 1
0 805 1
0 8408 1
0 4781 1
0 12 1
0 745 1
0 4002 1
0 3806 1
0 6523 1
0 285 1
0 667 1
0 4589 1
1 1271 1
1 10100 1
1 169 1
1 5825 1
1 257 1
1 4828 1
1 5192 1
1 3214 1
1 3892 1
1 1 1
1 5604 1
1 4716 1
2 1220 1
2 5650 1
2 1909 1
2 5005 1
2 11017 1
2 1025 1
2 1622 1
2 13495 1
2 10040 1
2 5344 1
2 2414 1
2 11677 1
2 6672 1
2 8447 1
2 2 1
2 3082 1
3 3905 1
3 68 1
3 1285 1
3 673 1
3 5869 1
3 6727 1
3 3054 1
3 1052 1
3 3033 1
3 1797 1
3 3148 1
3 1856 1
3 3 1
3 7799 1
4 4550 1
4 4951 1
4 1671 1
4 5999 1
4 4 1
4 8414 1
4 7088 1
4 621 1
4 2903 1
4 9191 1
4 1937 1
4 6548 1
4 2793 1
4 1938 1
4 1251 1
4 8904 1
4 5830 1
5 70 1
5 2091 1
5 2849 1
5 6568 1
5 5611 1
5 2517 1
5 11394 1
5 3467 1
5 7638 1
5 2466 1
5 5198 1
5 12807 1
5 1060 1
5 5 1
5 284 1
5 2403 1
5 1073 1
5 3111 1
5 3799 1
5 10330 1
5 5632 1
5 5925 1
6 12285 1
6 272 1
6 6946 1
6 7069 1
6 565 1
6 600 1
6 2700 1
6 7734 1
6 1934 1
6 4781 1
6 2078 1
6 3957 1
6 647 1
6 1655 1
6 5727 1
6 960 1
6 1376 1
6 5854 1
6 2597 1
6 567 1
6 3950 1
6 11812 1
6 11566 1
6 8607 1
6 1662 1
6 2252 1
6 12185 1
6 2613 1
6 2155 1
6 1872 1
6 6945 1
6 1779 1
6 4148 1
6 2246 1
6 4146 1
6 310 1
6 1592 1
6 7014 1
6 285 1
6 5116 1
6 945 1
6 5308 1
6 6790 1
6 453 1
6 2439 1
6 13494 1
6 381 1
6 6797 1
6 706 1
6 4669 1
6 5063 1
6 7323 1
6 7166 1
6 63 1
6 2654 1
6 8465 1
6 10602 1
6 806 1
6 7493 1
6 4259 1
6 8110 1
6 9120 1
6 3998 1
6 10145 1
6 2336 1
6 2919 1
6 7054 1
6 1192 1
6 3975 1
6 3121 1
6 913 1
6 4145 1
6 6 1
6 3201 1
6 967 1
6 330 1
6 8489 1
6 9292 1
6 5618 1
6 4490 1
6 251 1
6 624 1
6 7557 1
6 4890 1
6 3140 1
6 3183 1
6 2545 1
6 2080 1
6 12714 1
6 1377 1
6 5571 1
6 1751 1
6 1489 1
6 1892 1
6 9085 1
6 5340 1
6 463 1
6 7853 1
6 4107 1
6 8001 1
6 11910 1
6 1975 1
6 1037 1
6 10374 1
6 7120 1
6 3843 1
6 8221 1
6 3601 1
6 7778 1
6 3025 1
6 2338 1
6 1453 1
6 1360 1
6 633 1
6 5283 1
6 1208 1
6 959 1
6 2233 1
6 110 1
6 5400 1
6 8320 1
6 3412 1
6 3257 1
6 9494 1
6 2500 1
6 1282 1
6 9017 1
6 4199 1
6 1291 1
6 218 1
6 2579 1
6 6881 1
6 2847 1
6 6978 1
7 7 1
7 7400 1
7 1424 1
7 84 1
7 1465 1
7 3463 1
7 3280 1
7 4157 1
7 6568 1
7 9794 1
